Data e ora;Temperatura;Umidità (%);PM 1;PM 2.5;PM 10
2024-06-13  09:22:05;29.069;63.5;0.0;0.0;0.0
2024-06-13  09:22:09;29.763;62.4;1.453;2.996;4.039
2024-06-13  09:22:14;29.721;62.4;1.146;3.155;47.074
2024-06-13  09:22:19;29.691;63.7;1.162;2.149;2.465
2024-06-13  09:22:24;29.678;63.7;1.137;2.598;13.077
2024-06-13  09:22:29;29.635;63.7;1.249;2.3;7.364
2024-06-13  09:22:34;29.665;63.7;1.458;3.701;5.815
2024-06-13  09:22:39;29.678;63.7;1.202;2.956;3.987
2024-06-13  09:22:44;29.649;63.8;1.174;2.216;28.489
2024-06-13  09:22:49;29.665;63.7;1.464;4.655;30.408
2024-06-13  09:22:54;29.678;63.7;1.199;2.268;25.996
2024-06-13  09:22:59;29.665;63.7;1.243;2.193;2.867
2024-06-13  09:23:04;29.691;63.7;1.152;1.561;1.606
2024-06-13  09:23:09;29.678;63.7;0.998;1.187;36.577
2024-06-13  09:28:40;29.691;62.1;1.13;2.325;10.804
2024-06-13  09:28:45;29.835;62.1;1.16;3.059;7.659
2024-06-13  09:28:50;29.809;62.0;0.959;1.584;56.297
2024-06-13  09:28:55;29.777;62.0;1.114;1.414;11.178
2024-06-13  09:29:00;29.763;62.0;1.175;1.785;11.902
2024-06-13  09:29:05;29.777;63.4;1.417;2.814;5.521
2024-06-13  09:29:10;29.763;63.4;1.0;1.059;1.059
2024-06-13  09:29:15;29.763;62.0;1.123;1.865;2.517
2024-06-13  09:29:20;29.763;62.0;1.128;4.053;17.539
2024-06-13  09:29:25;29.763;63.3;1.034;2.591;3.58
2024-06-13  09:29:30;29.777;63.3;1.012;2.429;3.884
2024-06-13  09:41:45;29.777;61.9;44.269;91.511;372.268
2024-06-13  09:41:50;30.046;62.1;1.036;1.187;1.19
2024-06-13  09:41:55;30.006;63.4;0.994;3.09;9.7
2024-06-13  09:42:00;30.006;63.4;0.862;0.915;0.915
2024-06-13  09:42:05;30.006;63.4;0.918;2.315;3.752
2024-06-13  09:42:10;29.964;63.4;1.057;2.215;24.503
2024-06-13  09:42:15;29.99;63.2;1.149;2.124;2.816
2024-06-13  09:42:20;29.977;63.3;1.102;3.007;4.58
2024-06-13  09:42:25;29.99;63.3;1.145;2.851;10.284
2024-06-13  09:42:30;29.977;63.3;0.999;2.439;5.292
2024-06-13  09:42:35;29.977;63.1;1.038;1.178;1.182
2024-06-13  09:42:40;29.99;63.2;1.051;1.698;1.875
2024-06-13  09:42:45;29.99;63.2;0.995;2.569;4.034
2024-06-13  09:42:50;30.006;63.2;1.058;1.274;17.588
2024-06-13  09:42:55;29.977;63.2;0.908;1.042;1.045
2024-06-13  09:43:00;30.006;63.2;1.012;1.92;2.605
2024-06-13  09:43:05;30.006;63.2;1.129;3.42;8.389
2024-06-13  09:43:10;30.006;63.2;1.183;1.838;12.189
2024-06-13  09:43:15;30.006;63.2;0.983;2.404;3.85
2024-06-13  09:43:20;30.02;63.3;1.366;3.334;26.68
